TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Logisticos,Galapa,24/3/2026,13,Marzo,COKSP221,Checklist T2,"Golpes y rayones traseros y delanteros, llantas en mal estado",LLANTAS,Cerrado,3,3/27/2026,3.00,27,100%,80%,50%,90%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEL944,Checklist T2,Estribos partidos,CARROCERÍA BOTELLERA,Cerrado,2,3/26/2026,2.00,13,100%,80%,50%,87%,,,
Logisticos,Galapa,24/3/2026,13,Marzo,COVEN060,Checklist T2,Ojo la carpa,CARPAS/ESTERAS,Cerrado,2,3/25/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,6/2/2026,6,Febrero,COVEJ946,Checklist T2,Paral de estera está aún suelto ...,CARROCERÍA BOTELLERA,Cerrado,2,2/9/2026,3.00,12,100%,80%,50%,80%,,,
Surticerveza Pacheco SAS,Galapa,24/3/2026,13,Marzo,COXMC054,Checklist T2,Silla conductor dañada,SILLAS,Cerrado,3,3/25/2026,1.00,29,100%,80%,50%,97%,,,
Punto Corona,Galapa,24/3/2026,13,Marzo,COVEN005,Checklist T2,Fuga de aire la puerta no cierra los espejo y tiene un olor como a valbulina,PUERTAS,Cerrado,1,3/27/2026,3.00,-2,0%,80%,50%,0%,,,
Surticerveza Pacheco SAS,Galapa,25/3/2026,13,Marzo,COPSX403,Checklist T2,Peldaños traseros dañados y cauchos afuera del riel y carpa rota,CARPAS/ESTERAS,Cerrado,2,3/27/2026,2.00,13,100%,80%,50%,87%,,,
Surticerveza Pacheco SAS,Galapa,25/3/2026,13,Marzo,COLCM096,Checklist T2,No tiene llanta de repuesto Luna delantera partida,LLANTAS,Cerrado,3,3/27/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COLJS635,Checklist T2,Golpes y rayones traseros y delanteros múltiples golpes traceros mañungones y de más golpes,GOLPES Y RAYONES,Cerrado,3,3/27/2026,2.00,28,100%,80%,50%,93%,,,
Surticerveza Pacheco SAS,Galapa,25/3/2026,13,Marzo,COLCM504,Checklist T2,"Defensa delantera rayada, defensa tracera doblada lado izquierdo, espejo auxiliar delantera lado derecho no tiene y no tiene llanta de repuesto",LLANTAS,Cerrado,3,3/27/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COLCM505,Checklist T2,Hacer mantenimiento de las defensa trasera y delantera,GOLPES Y RAYONES,Cerrado,3,3/26/2026,1.00,29,100%,80%,50%,97%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COJTZ359,Checklist T2,Sale con un sólo cono no tiene llantas de repuesto,LLANTAS,Cerrado,3,3/26/2026,1.00,29,100%,80%,50%,97%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COVEN060,Checklist T2,"Silla del auxiliar mal ubicada, carpa y retrovisores en mal estado",CARPAS/ESTERAS,Cerrado,2,3/26/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COVEL186,Checklist T2,Carpa derecha en mal estado.bota la Reversa.fuga de aire,CARPAS/ESTERAS,Cerrado,2,3/28/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COKSP229,Checklist T2,Llanta de repuesto no tiene estop traseros mal estado plumillas mal estado,LLANTAS,Cerrado,3,3/27/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,25/3/2026,13,Marzo,COVEJ198,Checklist T2,El vehículo esta largo de frenos,FRENOS,Cerrado,1,3/26/2026,1.00,0,100%,80%,50%,100%,,,
